order	module	LOC	fan_in	scc	direct_deps	gating_tests(top4,by cases)
62	ReactFiberTransitionTypes	63	3	SCC12(59)	ReactFiberLane,ReactInternalTypes	ReactTransitionTracing-test.js(21),ReactTransition-test.js(13),ReactDefaultTransitionIndicator-test.js(10),ViewTransitionReactServer-test.js(1)
63	ReactEventPriorities	58	5	SCC12(59)	ReactFiberLane	useEffectEvent-test.js(17)
64	ReactCapturedValue	57	10	SCC12(59)	ReactFiberComponentStack,ReactInternalTypes	ReactDeferredValue-test.js(21)
65	ReactFiberAct	54	1	SCC12(59)	ReactFiber,ReactFiberConfig	
66	ReactFiberOffscreenComponent	52	9	SCC12(59)	ReactFiberCacheComponent,ReactFiberLane,ReactFiberSuspenseComponent,ReactFiberTracingMarkerComponent	ReactClassComponentPropResolution-test.js(1)
67	ReactFiberStack	49	7	SCC12(59)	ReactInternalTypes	ReactErrorStacks-test.js(9),ReactOwnerStacks-test.js(6)
68	ReactFiberAsyncDispatcher	35	1	SCC12(59)	ReactCurrentFiber,ReactFiberCacheComponent,ReactFiberNewContext,ReactInternalTypes	ReactAsyncActions-test.js(26)
69	ReactFiberActivityComponent	23	8	SCC12(59)	ReactCapturedValue,ReactFiberConfig,ReactFiberLane,ReactFiberTreeContext	Activity-test.js(28),ActivitySuspense-test.js(8),ActivityLegacySuspense-test.js(8),ActivityStrictMode-test.js(5)
70	ReactFiberShellHydration	17	2	SCC12(59)	ReactFiberRoot,ReactInternalTypes	
71	ReactFiberConfigWithNoHydration	62	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
72	ReactFiberConfigWithNoMicrotasks	20	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
73	ReactFiberConfigWithNoMutation	38	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
74	ReactFiberConfigWithNoPersistence	26	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
75	ReactFiberConfigWithNoResources	34	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
76	ReactFiberConfigWithNoScopes	20	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
77	ReactFiberConfigWithNoSingletons	24	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactConfigurableErrorLogging-test.js(4)
78	ReactFiberConfigWithNoTestSelectors	26	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactUse-test.js(50),ReactSuspenseList-test.js(49)
79	ReactFiberConfigWithNoViewTransition	38	0	-		ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactTransitionTracing-test.js(21),ReactTransition-test.js(13)
80	ReactReconcilerConstants	18	0	-	ReactEventPriorities,ReactRootTags	
